Total cost of the path : 3461.000000
LINE || COLUMN
0 || 403
1 || 402
2 || 401
3 || 401
4 || 402
5 || 402
6 || 403
7 || 402
8 || 401
9 || 400
10 || 399
11 || 398
12 || 398
13 || 399
14 || 400
15 || 399
16 || 398
17 || 398
18 || 399
19 || 400
20 || 401
21 || 401
22 || 400
23 || 400
24 || 400
25 || 400
26 || 400
27 || 399
28 || 398
29 || 397
30 || 397
31 || 398
32 || 399
33 || 400
34 || 399
35 || 399
36 || 399
37 || 400
38 || 401
39 || 400
40 || 399
41 || 398
42 || 397
43 || 397
44 || 397
45 || 397
46 || 397
47 || 397
48 || 398
49 || 399
50 || 400
51 || 400
52 || 399
53 || 398
54 || 399
55 || 399
56 || 400
57 || 401
58 || 400
59 || 399
60 || 398
61 || 399
62 || 399
63 || 398
64 || 399
65 || 398
66 || 398
67 || 398
68 || 398
69 || 397
70 || 397
71 || 398
72 || 399
73 || 399
74 || 400
75 || 401
76 || 402
77 || 401
78 || 400
79 || 401
80 || 401
81 || 402
82 || 403
83 || 402
84 || 402
85 || 402
86 || 401
87 || 400
88 || 399
89 || 398
90 || 398
91 || 397
92 || 398
93 || 399
94 || 398
95 || 397
96 || 398
97 || 399
98 || 399
99 || 400
100 || 401
101 || 402
102 || 402
103 || 402
104 || 401
105 || 400
106 || 400
107 || 399
108 || 398
109 || 397
110 || 398
111 || 397
112 || 396
113 || 395
114 || 395
115 || 394
116 || 393
117 || 392
118 || 392
119 || 392
120 || 392
121 || 391
122 || 390
123 || 389
124 || 388
125 || 388
126 || 388
127 || 389
128 || 390
129 || 390
130 || 391
131 || 390
132 || 391
133 || 390
134 || 391
135 || 390
136 || 391
137 || 392
138 || 392
139 || 391
140 || 390
141 || 389
142 || 389
143 || 389
144 || 389
145 || 389
146 || 389
147 || 388
148 || 387
149 || 386
150 || 386
151 || 386
152 || 386
153 || 387
154 || 386
155 || 385
156 || 385
157 || 384
158 || 383
159 || 383
160 || 383
161 || 382
162 || 381
163 || 380
164 || 379
165 || 378
166 || 378
167 || 378
168 || 377
169 || 378
170 || 377
171 || 376
172 || 375
173 || 374
174 || 374
175 || 374
176 || 375
177 || 374
178 || 374
179 || 374
180 || 373
181 || 372
182 || 371
183 || 370
184 || 369
185 || 369
186 || 370
187 || 371
188 || 372
189 || 373
190 || 374
191 || 374
192 || 374
193 || 375
194 || 376
195 || 377
196 || 377
197 || 376
198 || 375
199 || 376
200 || 376
201 || 375
202 || 376
203 || 376
204 || 377
205 || 376
206 || 375
207 || 375
208 || 375
209 || 376
210 || 376
211 || 377
212 || 378
213 || 379
214 || 378
215 || 379
216 || 380
217 || 380
218 || 379
219 || 379
220 || 380
221 || 381
222 || 382
223 || 382
224 || 383
225 || 384
226 || 384
227 || 384
228 || 384
229 || 384
230 || 383
231 || 383
232 || 383
233 || 383
234 || 383
235 || 384
236 || 385
237 || 386
238 || 386
239 || 386
240 || 386
241 || 387
242 || 386
243 || 386
244 || 386
245 || 386
246 || 385
247 || 384
248 || 383
249 || 383
250 || 383
251 || 382
252 || 382
253 || 381
254 || 380
255 || 379
256 || 379
257 || 378
258 || 377
259 || 378
260 || 379
261 || 378
262 || 378
263 || 378
264 || 377
265 || 376
266 || 376
267 || 376
268 || 377
269 || 378
270 || 377
271 || 376
272 || 376
273 || 377
274 || 377
275 || 377
276 || 378
277 || 377
278 || 377
279 || 377
280 || 377
281 || 377
282 || 377
283 || 377
284 || 377
285 || 376
286 || 375
287 || 375
288 || 375
289 || 375
290 || 374
291 || 374
292 || 375
293 || 376
294 || 377
295 || 377
296 || 377
297 || 378
298 || 377
299 || 376
300 || 376
301 || 376
302 || 377
303 || 378
304 || 379
305 || 380
306 || 381
307 || 382
308 || 382
309 || 383
310 || 384
311 || 385
312 || 385
313 || 385
314 || 386
315 || 386
316 || 385
317 || 384
318 || 384
319 || 383
320 || 383
321 || 384
322 || 385
323 || 386
324 || 387
325 || 386
326 || 385
327 || 386
328 || 386
329 || 386
330 || 385
331 || 384
332 || 383
333 || 383
334 || 383
335 || 382
336 || 381
337 || 380
338 || 379
339 || 378
340 || 377
341 || 377
342 || 377
343 || 377
344 || 377
345 || 376
346 || 377
347 || 376
348 || 376
349 || 377
350 || 376
351 || 377
352 || 377
353 || 377
354 || 377
355 || 378
356 || 378
357 || 379
358 || 380
359 || 381
360 || 382
361 || 383
362 || 383
363 || 382
364 || 381
365 || 381
366 || 381
367 || 382
368 || 382
369 || 381
370 || 380
371 || 380
372 || 379
373 || 378
374 || 378
375 || 378
376 || 378
377 || 377
378 || 377
379 || 378
380 || 378
381 || 377
382 || 378
383 || 378
384 || 379
385 || 379
386 || 378
387 || 378
388 || 377
389 || 376
390 || 375
391 || 374
392 || 373
393 || 372
394 || 371
395 || 370
396 || 370
397 || 369
398 || 368
399 || 367
400 || 366
401 || 366
402 || 365
403 || 364
404 || 363
405 || 362
406 || 361
407 || 360
408 || 359
409 || 358
410 || 357
411 || 357
412 || 356
413 || 355
414 || 354
415 || 353
416 || 352
417 || 351
418 || 350
419 || 350
420 || 351
421 || 352
422 || 351
423 || 352
424 || 351
425 || 352
426 || 353
427 || 353
428 || 353
429 || 352
430 || 351
431 || 350
432 || 349
433 || 348
434 || 347
435 || 347
436 || 347
437 || 347
438 || 347
439 || 347
440 || 347
441 || 346
442 || 346
443 || 346
444 || 345
445 || 344
446 || 343
447 || 342
448 || 342
449 || 341
450 || 341
451 || 341
452 || 340
453 || 339
454 || 338
455 || 337
456 || 336
457 || 335
458 || 334
459 || 333
460 || 332
461 || 331
462 || 330
463 || 329
464 || 328
465 || 327
466 || 326
467 || 325
468 || 324
469 || 323
470 || 322
471 || 322
472 || 322
473 || 321
